Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-11-22,70075.859375,72800.0,73000.0,71900.0,72200.0,11105143
2023-11-23,69690.8203125,72400.0,73200.0,72200.0,73000.0,6775614
2023-11-24,69017.03125,71700.0,72600.0,71700.0,72400.0,6676685
2023-11-27,68631.9921875,71300.0,72100.0,71100.0,71500.0,9113857
2023-11-28,69979.59375,72700.0,72700.0,71300.0,71400.0,13283081
2023-11-29,69979.59375,72700.0,72800.0,72200.0,72400.0,9283933
2023-11-30,70075.859375,72800.0,72800.0,72200.0,72700.0,15783714
2023-12-01,69305.7890625,72000.0,72500.0,71700.0,72400.0,9871284
2023-12-04,69883.34375,72600.0,72900.0,72400.0,72800.0,10229267
2023-12-05,68535.734375,71200.0,72400.0,71200.0,72300.0,12129682
2023-12-06,69017.03125,71700.0,72100.0,71600.0,71800.0,8123087
2023-12-07,68824.4921875,71500.0,71900.0,71100.0,71800.0,8862017
2023-12-08,69883.34375,72600.0,72800.0,71900.0,72100.0,10859463
2023-12-11,70268.375,73000.0,73000.0,72200.0,72800.0,9861960
2023-12-12,70749.65625,73500.0,73500.0,73100.0,73300.0,13758646
2023-12-13,70075.859375,72800.0,73500.0,72800.0,73300.0,13116766
2023-12-14,70364.625,73100.0,74300.0,72500.0,74100.0,27567593
2023-12-15,70557.140625,73300.0,74000.0,73200.0,73800.0,15419815
2023-12-18,70172.109375,72900.0,73400.0,72800.0,73300.0,9690551
2023-12-19,70653.40625,73400.0,73400.0,72800.0,73000.0,8907632
2023-12-20,72001.0234375,74800.0,74900.0,73800.0,74200.0,16870156
2023-12-21,72193.53125,75000.0,75000.0,74300.0,74600.0,13478766
2023-12-22,73059.859375,75900.0,76300.0,75400.0,75800.0,14515608
2023-12-26,73733.65625,76600.0,76700.0,75700.0,76100.0,13164909
2023-12-27,75436.796875,78000.0,78000.0,76500.0,76700.0,20651042
2023-12-28,75920.3671875,78500.0,78500.0,77500.0,77700.0,17797536
2024-01-02,76984.21875,79600.0,79800.0,78200.0,78200.0,17142847
2024-01-03,74469.65625,77000.0,78800.0,77000.0,78500.0,21753644
2024-01-04,74082.796875,76600.0,77300.0,76100.0,76100.0,15324439
2024-01-05,74082.796875,76600.0,77100.0,76400.0,76700.0,11304316
2024-01-08,73986.09375,76500.0,77500.0,76400.0,77000.0,11088724
2024-01-09,72245.2421875,74700.0,77700.0,74300.0,77400.0,26019249
2024-01-10,71181.390625,73600.0,75200.0,73200.0,75000.0,20259529
2024-01-11,70794.53125,73200.0,73600.0,72700.0,72900.0,57691266
2024-01-12,70697.8203125,73100.0,74100.0,72800.0,73000.0,13038939
2024-01-15,71471.53125,73900.0,74000.0,73200.0,73200.0,2957915
2024-01-16,70214.2421875,72600.0,73700.0,72500.0,73500.0,14760415
2024-01-17,68666.828125,71000.0,73300.0,71000.0,73100.0,22683660
2024-01-18,69343.8203125,71700.0,72000.0,70700.0,71600.0,17853397
2024-01-19,72245.2421875,74700.0,74700.0,73000.0,73500.0,23363427
2024-01-22,72632.09375,75100.0,76000.0,75000.0,75900.0,19673375
2024-01-23,72728.8046875,75200.0,75800.0,74300.0,75700.0,14786224
2024-01-24,71568.25,74000.0,75200.0,73500.0,75200.0,12860661
2024-01-25,71664.9453125,74100.0,74800.0,73700.0,74200.0,11737747
2024-01-26,70987.9609375,73400.0,74500.0,73300.0,73700.0,11160062
2024-01-29,71955.1015625,74400.0,75200.0,73500.0,73800.0,13976521
2024-01-30,71858.3828125,74300.0,75300.0,73700.0,75000.0,12244418
2024-01-31,70310.9609375,72700.0,74000.0,72500.0,73400.0,15703560
2024-02-01,71181.390625,73600.0,74200.0,72900.0,73000.0,19881033
2024-02-02,72728.8046875,75200.0,75200.0,73700.0,74000.0,14955881
